Date,Description,Amount,Category,PaymentMethod,Location,AccountType,TransactionType,DeviceUsed,Currency,MerchantType,LoyaltyProgram,Weekday,Month,TimeOfDay
01-01-2024,Monthly Executive Salary,1500000.0,Salary,Net Banking,Mumbai,Salary,Credit,Desktop,INR,Salary,No,Friday,Month,Morning
03-01-2024,Premium Apartment Rent,150000.0,Rent,Net Banking,Mumbai,Savings,Debit,Desktop,INR,Housing,No,Sunday,Month,Morning
06-01-2024,Utility Bill Consistency,10000.0,Utilities,UPI,Mumbai,Savings,Debit,Mobile,INR,Bills,No,Wednesday,Month,Evening
16-01-2024,High-End Dining & Travel,375000.0,Luxury,Credit Card,Mumbai,Credit Card,Debit,Desktop,INR,Leisure,Yes,Saturday,Month,Night
21-01-2024,Incidental Spend,5000.0,Shopping,UPI,Mumbai,Savings,Debit,Mobile,INR,Retail,No,Tuesday,Month,Afternoon
31-01-2024,Monthly Executive Salary,1500000.0,Salary,Net Banking,Mumbai,Salary,Credit,Desktop,INR,Salary,No,Friday,Month,Morning
02-02-2024,Premium Apartment Rent,150000.0,Rent,Net Banking,Mumbai,Savings,Debit,Desktop,INR,Housing,No,Sunday,Month,Morning
05-02-2024,Utility Bill Consistency,10000.0,Utilities,UPI,Mumbai,Savings,Debit,Mobile,INR,Bills,No,Wednesday,Month,Evening
15-02-2024,High-End Dining & Travel,375000.0,Luxury,Credit Card,Mumbai,Credit Card,Debit,Desktop,INR,Leisure,Yes,Saturday,Month,Night
20-02-2024,Incidental Spend,5000.0,Shopping,UPI,Mumbai,Savings,Debit,Mobile,INR,Retail,No,Tuesday,Month,Afternoon
01-03-2024,Monthly Executive Salary,1500000.0,Salary,Net Banking,Mumbai,Salary,Credit,Desktop,INR,Salary,No,Friday,Month,Morning
03-03-2024,Premium Apartment Rent,150000.0,Rent,Net Banking,Mumbai,Savings,Debit,Desktop,INR,Housing,No,Sunday,Month,Morning
06-03-2024,Utility Bill Consistency,10000.0,Utilities,UPI,Mumbai,Savings,Debit,Mobile,INR,Bills,No,Wednesday,Month,Evening
16-03-2024,High-End Dining & Travel,375000.0,Luxury,Credit Card,Mumbai,Credit Card,Debit,Desktop,INR,Leisure,Yes,Saturday,Month,Night
21-03-2024,Incidental Spend,5000.0,Shopping,UPI,Mumbai,Savings,Debit,Mobile,INR,Retail,No,Tuesday,Month,Afternoon
